<<<<<<< HEAD
Unique Applicant ID ,Outcomes, Age, Years at Employer,Years at Address,Income,Credit Card Debt ,Automobile Debt
47,1,-0.31,-0.18,0.78,-0.12,-0.71,-1.76
48,1,-0.66,-0.63,0.58,-0.21,0.19,0.56
49,0,0.72,-0.35,1.08,2.99,-0.8,-2.28
50,1,-1.34,-0.77,-0.42,0.04,0.69,-0.43
51,1,1.09,1.53,0.2,8.42,-7.41,-2.43
52,0,-0.64,-0.59,-0.84,-0.5,0.79,0.53
53,1,-1.38,-1.13,0.64,-0.5,0.63,0.28
54,0,-0.08,0.01,-1.04,-0.26,0.5,0.17
55,0,-0.37,0.08,-0.01,-0.04,0.34,0.66
56,0,-0.7,-0.37,-1.15,-0.03,0.22,0.5
57,0,1.17,1.69,-0.86,1.34,-0.85,-2.36
58,0,-1.52,-1.19,-1.03,-0.64,0.74,0.69
59,0,-1.62,-0.46,0.27,-0.71,0.36,0.22
60,0,0.32,0.77,-0.57,0.48,0.3,0.49
61,0,-0.69,-1.18,-0.55,-0.63,0.78,1.09
62,0,0.34,-0.49,0.64,-0.62,0.73,0.55
63,1,-1.13,-1.07,0.33,-0.42,-0.08,-0.34
64,1,-0.51,-1.22,0.45,-0.69,0.41,0.07
65,0,0.43,-0.16,-0.52,-0.19,0.72,0.03
66,1,2.46,-1.18,0.75,-0.45,-0.59,-0.59
67,0,-0.24,1.02,-1.17,0.54,-1.21,-0.25
68,0,-0.57,-0.67,-0.34,-0.64,0.69,0.81
69,0,-0.74,0.18,-0.35,-0.53,0.46,0.41
70,1,-0.94,-1.25,-0.44,-0.57,0.09,0.33
71,0,1.5,-1.01,0.3,-0.46,0.44,0.79
72,0,-0.54,-1.04,0.35,-0.7,0.68,0.86
73,1,1.02,-0.61,-0.66,-0.34,0.61,0.54
74,1,-0.81,-0.25,-0.16,-0.4,0.61,0.71
75,0,-0.18,-0.41,-0.29,-0.58,0.5,0.64
76,0,1.77,1.26,-0.58,1.35,-0.88,-2.05
77,0,-0.84,-1.08,-0.53,-0.63,0.27,0.54
78,0,1.81,0.02,0.33,-0.67,0.78,0.95
79,0,-0.44,0.16,-0.79,0.08,-0.52,-1.47
80,0,0.92,-0.3,-0.29,-0.29,0.74,0.54
81,0,1.31,3.4,-0.25,4.21,-3.94,-1.45
82,0,-0.47,-1.17,-0.95,-0.49,0.34,0.43
83,1,-0.94,-0.78,-1.06,-0.67,0.43,0.57
84,1,-1.31,-1.17,-0.55,-0.61,0.67,0.43
85,0,0.87,0.32,0.38,-0.27,0.09,0.19
86,0,0.47,1.23,-0.24,0.99,0.08,0.77
87,0,-0.39,0.44,-0.52,0.3,-2.04,-0.97
88,0,-1.29,-1.25,2.17,-0.62,0.78,0.5
89,0,-0.39,-0.04,-0.81,-0.19,0.31,0.26
90,0,1.42,-0.1,-0.37,-0.24,0.32,0.76
91,0,1.34,1.42,0.62,0.74,0.4,-0.56
92,0,-0.73,0.4,-1.07,-0.46,0.16,0.58
93,0,-0.12,-0.47,-0.73,-0.14,-0.53,-0.33
94,0,-0.58,-1.23,-0.71,-0.47,0.14,-0.7
95,1,1.23,0.69,-0.39,0.26,-1.73,-0.6
96,0,-0.31,-0.17,1.71,-0.49,0.66,0.63
97,0,-1.3,-0.6,-0.45,-0.77,0.77,0.64
98,0,1.1,1.4,0.11,-0.03,0.58,0.65
99,0,0.25,0.21,-0.06,-0.05,0.56,-0.79
100,0,2.35,3.36,-0.53,4.22,-1.36,-3.2
101,0,0.14,-0.33,-0.81,0.41,-0.27,0.45
102,1,-0.37,0.15,-0.5,0.03,-0.82,0.25
103,0,-0.84,-0.17,2.19,-0.44,0.54,0.72
104,1,1.42,0.87,1.43,0.44,-0.28,0.2
105,0,2,0.35,2.31,-0.27,-0.42,0.59
106,1,-0.75,-0.38,0.56,-0.41,-0.26,-0.04
107,0,0.15,1.49,-0.59,0.2,-0.49,-0.72
108,1,-1.08,-0.74,-0.96,-0.6,0.06,0.29
109,1,1.46,0.42,-0.39,0.09,-0.47,-1.05
110,0,-0.68,0,0.37,-0.28,0.45,0.26
111,0,-0.55,0.76,0.84,0.22,-0.84,-0.45
112,0,-1.74,-0.83,0.04,-0.51,0.1,0.57
113,0,-0.11,0.3,1.11,0.01,0.64,0.84
114,1,-1.44,-0.75,1.44,-0.68,0.81,0.4
115,0,-1.26,-0.13,-1.11,-0.59,0.64,0.61
116,1,-1.28,-0.9,0.19,-0.49,0.18,0.36
117,0,1.18,-0.89,-0.95,-0.31,0.21,0.62
118,0,-0.24,1.06,-0.61,0.2,0.41,0.52
119,0,0.25,0.34,0.02,0.52,0.48,0.32
120,0,0.11,0.74,1.04,0.11,0.09,0.01
121,1,0.34,0.95,0.25,-0.17,-1.48,-0.44
122,0,-0.2,0.03,-0.35,0,0.62,-0.11
123,0,-0.69,0.32,-1.25,-0.11,-1.13,-0.19
124,0,1.52,2.12,0.37,1.03,0.38,0.35
125,0,0.29,-0.7,-1.24,-0.48,0.19,0.18
126,1,0.06,1.02,-0.51,-0.03,-2.92,-2.12
127,0,2,-0.38,-0.48,-0.41,0.77,0.15
128,0,2.57,-0.16,-0.72,0.31,-0.19,-0.13
129,0,0.86,0.21,1.12,0.51,-0.63,0.09
130,1,-1.3,-1.23,0.52,-0.53,0.44,0.26
131,1,1.03,-0.4,-0.82,0.13,0.59,-1.01
132,0,-1.12,-1.15,1.36,-0.45,0.53,0.65
133,0,-0.12,0.6,-0.42,-0.5,0.23,-0.1
134,0,0.23,0.29,1.84,-0.38,0.15,0.49
135,0,0.98,0.4,1.07,-0.34,0.62,0.34
136,1,-1.62,-1.22,0.38,-0.48,0.51,0.41
137,1,-0.93,0.1,-0.12,-0.09,-0.67,-0.52
138,0,-1.09,-0.59,0.25,-0.58,0.65,0.64
139,0,0.96,0.65,-0.94,-0.27,-0.17,0.22
140,1,-1.03,-0.85,0.47,-0.48,0.25,0.23
141,1,-0.69,-1.04,0.2,-0.7,0.72,0.95
142,0,0.02,-0.63,-0.28,-0.18,0.44,0.46
143,0,-0.31,-1.17,-0.13,-0.31,0.42,0.72
144,0,0.68,0.77,-1.11,0.35,0.36,0
145,0,0.68,2.3,0.83,0.6,-2.54,-0.69
146,0,-1.37,-0.56,-0.29,-0.55,0.66,0.32
147,1,-0.17,-0.46,0.52,-0.07,-0.09,-0.58
148,1,1.85,-0.48,1.63,0.66,-2.75,-0.89
149,0,-0.69,-0.55,0.38,-0.26,0.42,0.23
150,0,-1.06,-0.49,-1.21,0.58,-0.31,0.05
151,0,-1.25,-0.61,0.12,-0.52,0.77,0.63
152,0,-0.92,-0.46,-1.14,-0.75,0.63,0.64
153,0,-0.44,0.35,0.35,-0.42,0.73,0.47
154,0,-0.39,-0.97,-0.09,-0.53,-0.23,0.56
155,0,-0.09,-0.59,0.04,-0.66,0.33,0.48
156,1,-1,-1.21,-0.98,-0.67,-0.18,0.11
157,0,-0.11,-0.15,-0.76,-0.34,0.42,0.51
158,1,-0.19,0.37,-0.96,-0.45,0.43,0.28
159,0,-1.32,-1.19,-1.21,-0.31,-0.29,-0.32
160,0,-0.17,-0.15,-1.08,-0.51,0.48,0.73
161,0,1.51,3.09,1.72,2.11,-1.23,-0.96
162,1,-1.73,-1.18,-0.75,-0.66,0.72,0.22
163,0,-0.37,0.17,-0.94,-0.39,0.72,0.83
164,0,0.21,0.81,1.02,0.11,0.41,0.37
165,0,-0.09,0.42,0.05,-0.36,-0.27,0.57
166,0,0.15,-0.53,-0.84,-0.59,0.75,0.39
167,1,-1.03,-0.2,1.01,-0.68,0.55,0.68
168,0,-0.53,-0.97,0.03,-0.41,0.68,0.51
169,0,2.55,0.46,-0.94,0.2,-1.63,-0.05
170,0,0.32,1.95,-0.26,-0.01,-0.48,0.46
171,0,-0.28,-0.77,2.01,-0.5,-0.12,0.49
172,1,-1.76,-1.23,-0.21,-0.65,-0.25,-0.03
173,0,-0.95,0.62,-0.72,0.99,-0.67,-0.07
174,0,0.42,1.43,0.18,-0.07,0.64,0.75
175,0,-0.18,0.71,-0.9,-0.47,0.56,0.71
176,0,-0.75,-1.08,-0.11,-0.37,-0.06,0.28
177,0,-0.98,0.17,-1.07,-0.36,0.6,0.29
178,0,0.19,-0.34,-0.21,-0.26,-0.04,-0.49
179,1,-0.71,-1.13,0.05,-0.67,0.69,0.53
180,1,-1.15,-1.03,0.12,-0.7,0.71,0.45
181,0,-0.83,-0.87,-0.36,-0.45,0.61,0.06
182,0,0.16,-0.54,-0.54,-0.6,0.48,0.65
183,0,-0.12,1.06,1.75,0.23,-0.12,0.05
184,0,-0.65,-1.24,0.31,-0.54,0.65,0.13
185,0,0.45,1.56,2.12,0.52,-1.16,-3.54
186,0,0.17,-0.66,-1.19,-0.65,0.59,0.39
187,1,-1.08,-1.21,-0.71,-0.3,-0.3,0.18
188,0,-0.3,-0.07,-0.46,-0.48,0.7,0.79
189,1,-0.44,-1.2,-1.2,-0.66,0.72,0.87
190,0,0.42,1.36,-0.91,0.39,-1.87,0.2
191,0,2.08,0.99,-0.62,-0.05,0.16,0.54
192,0,0.65,1.71,1.38,2.01,-0.83,-3.05
193,0,-0.78,-0.26,-0.63,0.08,0.19,-0.9
194,1,0.49,-1.18,-1.05,-0.38,0.51,0.49
195,0,1.15,-1.27,-0.03,-0.49,0.75,0.55
196,0,0.92,0.68,-0.32,0.21,-0.5,-0.67
197,0,-1.23,-0.12,1.86,-0.65,0.57,0.66
198,0,-1.18,-0.92,-0.76,-0.44,0.45,0.57
199,0,0.52,1.19,-0.14,1.4,0,-2.6
200,0,1.37,1.15,-1.24,1.56,0.52,-0.01
201,1,-1.09,-1.23,-0.98,-0.94,0.22,0.35
202,1,-0.86,-0.64,-0.77,-0.22,-0.95,0.44
203,0,0.29,0.06,-1.34,-0.44,0.02,0.62
204,0,-0.84,-0.07,0.4,-0.85,0.7,0.61
205,0,0.52,-0.5,-0.14,-0.52,0.52,0.26
206,0,-0.51,-0.16,2.76,-0.82,0.51,0.42
207,1,0.15,-1.25,0.21,-0.45,0.65,1.02
208,1,-0.73,-0.66,-1.02,-0.19,0.59,0.54
209,0,0.01,0.13,1.42,-0.44,0.51,0.48
210,0,1.02,0.2,-0.43,0.22,0.26,0.25
211,0,-0.06,0.23,-0.58,-0.38,0.14,-0.06
212,0,-0.3,-1.12,0.01,-0.71,0.68,0.36
213,0,0.47,0.68,0.22,-0.08,0.55,0.82
214,0,-0.7,0.24,-0.2,0.22,-1.51,-0.59
215,1,0.86,-0.62,-0.49,-0.24,-0.05,-0.33
216,0,0.24,0.9,0.68,-0.13,0.6,0.82
217,0,0.41,0.48,0.6,0.44,-0.1,0.17
218,0,-0.89,-0.51,-1.15,-0.52,0.57,0.19
219,0,-0.57,-1.09,-0.76,-0.58,0.44,0.35
220,1,-1.29,-0.43,0.66,-0.05,-2.17,-0.69
221,0,0.9,1.56,-1.17,0.51,-0.01,-0.05
222,1,-0.54,0.05,0.5,0.32,-2.15,-0.8
223,1,-1.02,-0.95,-0.18,-0.73,0.57,0.63
224,0,-0.58,0.71,0.38,-0.27,0.57,0.66
225,0,-2.21,-1.28,-0.27,-0.73,0.67,0.54
226,0,0.84,-0.33,0.55,-0.76,0.51,0.3
227,0,0.84,1.92,2.27,2.05,0.07,0.37
228,0,0.9,0.47,0.22,0.96,0.11,0.48
229,1,0.67,1.28,0.07,3.56,-4.7,-0.59
230,1,-1.32,-0.95,-0.5,-0.54,0.28,0.59
231,0,1.74,3.11,-0.46,1.48,-0.19,-0.58
232,0,-0.07,-0.33,3.77,-0.4,0.65,-0.3
233,0,1.65,2.03,0.57,0.95,0.57,-0.71
234,0,1.18,0.72,-0.69,0.23,-0.03,-1.11
235,0,1.16,1.49,-0.73,1.31,-0.34,-0.48
236,0,0.59,-0.78,-0.57,-0.63,0.37,0.34
237,0,-2.02,-1.25,-0.66,-0.83,0.3,0.29
238,0,-0.06,0.08,-0.14,-0.1,0.29,-0.29
239,1,-0.95,-0.96,-1.12,-0.97,0.31,0.46
240,0,-0.37,0.81,-1.08,-0.23,0.63,0.39
241,0,1.59,2.02,0.95,2.54,-0.88,-2.79
242,0,-0.58,-0.51,-0.91,-0.64,0.66,0.72
243,0,0.59,-0.1,1.56,-0.37,0.42,0.93
244,1,1.71,0.93,-0.63,4.86,-6.78,-5.58
245,0,1.5,-0.31,0.78,-0.38,-0.22,0.38
246,1,-0.96,-0.84,1.87,-0.12,-2.1,-0.31
247,0,-1.21,-0.21,-0.45,-0.75,0.53,0.52
248,0,-0.21,-0.9,0.08,-0.54,-0.17,0.4
249,0,-1.47,-0.86,-1.12,-0.33,0.55,-0.74
250,1,-0.22,-1.16,-0.83,-0.49,-0.1,0.33
251,0,-1.81,-1.07,-0.24,-0.85,0.67,0.46
252,1,-1.13,-0.98,0.22,-0.93,0.39,0.66
253,1,0.79,1.32,2.38,0.7,-2.4,-0.5
254,1,-0.73,-1.19,0.35,-0.8,0.55,0.77
255,1,0.01,-1.18,-0.19,-0.4,0.05,0.29
256,0,-0.55,-0.49,0.96,-0.64,0.59,0.61
257,0,0.58,0.1,-1,-0.24,-0.56,0.21
258,1,-1.69,-0.84,0.65,-0.64,0.55,0.78
259,0,0.1,-0.92,0.52,-0.45,0.56,0.09
260,0,-0.3,0.85,-1.38,-0.47,0.47,0.57
261,1,-0.41,0.72,-0.95,0.2,-0.57,-1.67
262,0,1.48,-0.93,2.85,-0.4,-0.63,-0.27
263,0,-0.72,-0.61,-0.46,-0.26,-0.79,-0.77
264,0,-0.04,0.72,0.25,0.84,-0.12,-0.29
265,1,0.61,0.62,-0.97,1.5,-2.26,-2.64
266,0,-0.03,1.12,1.65,0.22,0.32,0.24
267,1,-0.13,0.11,-0.94,0.33,-0.81,-0.69
268,0,0.02,-0.15,0.19,-0.55,0.48,0.67
269,0,-0.31,-1.04,-1.17,-0.23,0.41,0.63
270,0,1.3,1.16,-0.88,0.84,-1.43,-0.64
271,1,-1.36,-0.75,-0.05,-0.74,0.54,0.33
272,0,-0.75,-0.18,-0.6,-0.6,0.47,0.34
273,1,-1.14,-0.84,-0.97,-0.82,0.09,-0.07
274,0,-0.61,-0.93,0.13,-0.82,0.64,1.01
275,0,-1.36,-0.8,-0.4,-0.31,0.63,0.46
276,0,-0.84,-0.25,-0.46,-0.69,0.38,0.42
277,0,0.84,-0.2,-0.46,-0.08,0.4,0.7
278,1,1.76,-0.03,-0.93,0.58,0.1,-0.67
279,1,-0.33,-0.78,1.24,0.2,0.61,0.64
280,0,0.18,-1.16,-0.21,-0.6,0.53,0.5
281,0,1.24,-0.07,-0.95,0.62,0.34,-0.16
282,0,-0.01,1.31,-1.16,0.16,0.3,-0.54
283,0,1.22,1.18,0.9,-0.45,-0.33,-0.47
284,0,-0.38,0.83,0.6,-0.52,0.61,0.71
285,0,-0.03,-0.49,-0.37,-0.47,0.15,0.16
286,0,-0.78,0.04,0.34,-0.4,0.26,0.53
287,0,-1.12,-0.88,-1.22,-0.22,0.31,0.49
288,0,-0.07,0.06,1.71,-0.37,0.68,0.65
289,0,0.35,-1.26,0.66,-0.56,0.59,0.37
290,0,-0.85,-0.46,-0.56,0.35,-0.26,-1.62
291,1,-2.17,-1.19,-0.16,-0.77,0.47,0.56
292,0,0.58,1.73,0.81,0.78,-2.62,-1.55
293,0,-0.02,-0.03,1.6,-0.03,0.14,0.17
294,0,-1.07,-0.94,0.22,-0.65,0.34,0.9
295,0,0.86,-0.2,-0.62,-0.67,0.61,0.61
296,0,0.23,0.88,-0.2,-0.18,-0.65,-0.38
297,0,0.33,0.88,-0.32,-0.3,0.49,0.42
298,0,-0.27,0.49,-0.95,-0.19,0.63,0.6
299,0,0.29,2.04,-0.21,1.29,0.42,-2.51
300,0,-0.33,-0.5,1.99,0.25,0.5,0.51
301,0,1.52,-1.06,-1.11,-0.4,0.48,0.72
302,0,-1,-0.9,2.48,-0.61,0.53,0.68
303,0,-1.4,-1.07,-0.52,-0.03,0.26,0.64
304,0,1.09,-0.28,-0.63,-0.48,0.21,-0.11
305,0,-0.16,0.4,-0.22,-0.15,-0.03,0.11
306,0,2.1,-1.1,-0.99,-0.69,0.69,0.67
307,0,1.08,1.18,0.55,0.84,0.28,0.01
308,0,0.41,1.11,-0.71,1.21,0.63,0.93
309,0,0.13,0.14,-0.63,-0.44,0.7,0.64
310,0,-0.75,0.25,0.33,-0.53,0.71,0.87
311,1,1.26,-1.07,0.63,-0.75,0.01,0.5
312,0,-1.11,-1.11,1.99,-0.74,0.64,0.92
313,1,0.63,-0.24,-0.52,0.39,-1.22,-1.54
314,1,-1.54,-0.26,-1.25,-0.4,0.45,0.52
315,0,-0.54,-0.94,-1.15,-0.64,0.51,0.42
316,0,-1.14,-0.35,0.38,-0.57,0.55,0.54
317,0,0.15,-0.51,1.69,-0.45,-0.17,-0.02
318,0,1.27,2.05,-0.27,1.62,-1.06,-0.54
319,0,-0.02,0.69,-0.86,0.24,0.52,0.8
320,0,-1.47,-1.26,1,-0.62,0.53,0.57
321,0,-0.46,0.32,-1.32,0.02,-0.67,0.04
322,1,0.86,3.42,-0.34,2.42,-6.06,-3.72
323,0,0.43,0.77,-0.98,-0.5,0.43,0.37
324,0,1.68,1.37,-0.71,3.07,0.23,-0.21
325,0,1.49,2,-0.13,0.87,-0.03,-0.02
326,0,1.38,0.34,1.2,0.18,0.39,-1.03
327,0,-1.81,-0.44,-0.08,-0.42,0.41,0.45
328,0,0.12,0.78,0.8,-0.25,0.19,-0.74
329,0,0.23,-0.01,-0.88,-0.47,0.37,0.45
330,0,-0.59,0.37,0.76,-0.65,0.7,0.8
331,0,1.13,1.32,1.78,-0.03,0.44,0.51
332,0,1.11,2.72,-0.72,0.74,-1.39,0.01
333,0,-0.82,0.14,-0.98,-0.21,-0.28,0.31
334,1,-1.94,-1.24,-1.21,-0.3,0.34,0.02
335,1,0.46,0.71,-1.33,-0.03,-0.66,-0.04
336,0,-0.36,-1.01,-0.38,-0.43,0,-0.47
337,1,-0.36,-0.37,-0.21,-0.44,-0.5,0.3
338,0,-0.25,0.25,-0.05,-0.54,0.52,0.78
339,1,-0.74,-0.51,1.05,0.79,-0.78,-2.32
340,0,2.94,1.37,-0.09,0.85,-1.41,-1.31
341,0,-1.37,-0.39,-1.26,-0.74,0.34,0.56
342,0,-1.38,-1.28,-0.03,-0.83,0.62,0.53
343,0,0.29,-0.63,-0.15,-0.42,0.06,-0.6
344,0,0.79,0.17,1.23,-0.33,0.38,0.24
345,0,-0.66,-1.02,-0.52,-0.26,-0.04,-0.37
346,1,-0.5,-0.51,0.12,-0.37,-0.86,-0.21
347,1,0.39,-0.33,1.49,0.53,0.25,-1.29
348,1,0.29,0.85,-1.03,1.19,-0.41,-4.96
349,1,-0.51,-0.68,-1.24,-0.44,-0.47,-0.33
350,0,-1.9,-1.21,-0.21,-0.54,-0.04,0.84
351,1,-0.58,0.27,-0.26,-0.4,0.05,0.66
352,0,0.72,0.03,-1.07,-0.47,0.63,0.26
353,0,-0.99,-0.83,-0.62,-0.67,0.57,0.91
354,0,1.68,0.2,1.73,-0.41,0.44,0.52
355,0,-0.52,-0.33,-0.17,-0.82,0.7,0.73
356,0,0.28,-0.88,-0.58,-0.51,0.58,0.55
357,0,0.15,1.73,-1.11,0.23,0.15,0.75
358,1,-0.82,-1.16,0.18,-0.53,-0.37,-1
359,0,0.5,-0.49,0.94,-0.62,0.27,0.4
360,0,0.31,-0.34,-0.65,0.34,0.31,0.48
361,0,0.12,0.31,-0.29,1.17,-0.6,-2.61
362,0,-0.05,-0.88,-0.52,-0.23,0.19,-0.24
363,0,0.73,2.39,-0.46,5.45,-0.08,-0.58
364,1,-0.31,0.1,-0.68,-0.4,0.06,0.21
365,0,1.67,2.08,0.27,0.56,-1.18,0.09
366,0,-0.53,-0.74,0.04,0.16,-0.33,0.48
367,1,-0.49,-1.24,-1.1,-0.66,0.51,0.87
368,0,1.86,0.96,-0.64,0.42,-0.17,0.02
369,0,0.84,-0.92,-0.42,-0.51,0.01,0.63
370,1,-0.72,-1.12,-0.13,-0.82,0.2,0.37
371,1,-0.67,0.75,-1.21,-0.11,0.02,0.46
372,1,-0.69,-0.97,1.89,-0.11,0.48,0.96
373,1,-1.05,-1.18,2.37,-0.79,0.55,0.34
374,0,-0.89,0.46,1.88,-0.51,0.68,0.85
375,0,0.98,-0.61,0.06,-0.47,0.68,0.6
376,0,-1.38,-0.65,1.12,-0.65,0.52,0.65
377,0,2.25,0.74,0.11,0.12,0.5,0.77
378,0,-1.42,-1.14,-1.13,-0.86,0.66,0.78
379,0,1.18,2.01,0.59,1.12,0.09,-1.59
380,1,0.61,0.43,-1.21,1.07,-1.68,-4.07
381,1,-0.94,-1.24,1.83,-0.85,0.44,0.1
382,0,1.32,-0.91,-0.97,-0.1,0.53,0.5
383,0,-0.55,-0.17,0.68,-0.34,0.57,-0.14
384,0,0.47,1.93,0.75,0.23,0.44,0.81
385,0,0.12,1.43,-0.72,0.36,0.2,0.16
386,0,-0.26,-1.19,0.22,-0.56,0.64,0.48
387,0,0.28,0.26,1.25,-0.41,0.16,-1.9
388,0,1.06,0.68,1.8,3.78,-0.41,-0.29
389,0,2.58,0.52,-0.62,5.09,-2.77,-1.92
390,0,1.26,1.11,0.83,0.35,-0.45,-1.01
391,0,-0.71,-0.19,-1.31,-0.25,0.73,0.64
392,0,-1.13,-0.8,-0.59,-0.32,0.51,0.12
393,1,-0.05,-1.03,1.59,-0.46,-0.6,0.1
394,0,1.17,2,0.47,0.11,0.47,0.52
395,0,0.47,0.9,0.34,0.71,0.18,0.9
396,0,1.78,1.03,-0.98,0.65,-0.03,-1.01
397,0,-1.35,-0.85,-0.21,-0.8,0.68,0.87
398,0,-0.25,-0.71,-0.12,-0.47,0.6,0.32
399,0,1.09,0.73,-1.24,-0.08,0.65,0.51
400,0,0.78,-0.34,0.98,0.19,0.41,-0.62
>>>>>>> c5e2954fc7f73bbffef78dfd8b6c7b4c63e2a6dc
